"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"GNB2",16.86,235,0.00873151519655198,2.37681106173776
"MIR1180",16.86,236,0.0087686705803671,2.37524424631372
"PHLDA2",16.86,237,0.00880582596418221,2.37368324029204
"ASB6",16.84,238,0.00884298134799733,2.37212799697609
"CIRBP",16.75,239,0.00888013673181244,2.3705784702402
"MIR5088",16.73,240,0.00891729211562755,2.36903461452024
"SNORD12",16.72,241,0.00895444749944267,2.36749638480451
"MIR6880",16.67,242,0.00899160288325778,2.36596373662477
"SNORD12B",16.67,243,0.0090287582670729,2.36443662604743
"PAQR6",16.66,244,0.00906591365088801,2.362915009665
"GPX4",16.63,245,0.00910306903470313,2.36139884458758
"HMG20B",16.63,246,0.00914022441851824,2.35988808843465
"MIR200C",16.63,247,0.00917737980233336,2.35838269932693
"MIR6757",16.63,248,0.00921453518614847,2.3568826358785
"SLC25A25-AS1",16.61,249,0.00925169056996359,2.35538785718895
"NAB2",16.55,250,0.0092888459537787,2.3538983228358
"BGLAP",16.53,251,0.00932600133759382,2.352413992867
"MIR6735",16.53,252,0.00936315672140893,2.35093482779362
"SAP25",16.52,253,0.00940031210522405,2.34946078858263
"SLFNL1",16.5,254,0.00943746748903916,2.34799183664987
"SNORD35A",16.47,255,0.00947462287285428,2.34652793385313
"EVA1B",16.4,256,0.00951177825666939,2.34506904248538
"MYL6B",16.4,257,0.00954893364048451,2.34361512526811
"MLST8",16.38,258,0.00958608902429962,2.34216614534483
"FAM89B",16.24,259,0.00962324440811474,2.34072206627463
"GAPDH",16.15,260,0.00966039979192985,2.33928285202594
"JSRP1",16.14,261,0.00969755517574497,2.33784846697035
"MIR6753",16.1,262,0.00973471055956008,2.3364188758766
"PTBP1",16.1,263,0.0097718659433752,2.3349940439046
"GPT",16.08,264,0.00980902132719031,2.33357393659966
"MIR6834",16.05,265,0.00984617671100542,2.33215851988673
"DCAF15",16.02,266,0.00988333209482054,2.33074776006487
"IMPDH2",16.02,267,0.00992048747863565,2.32934162380167
"RPL18",16.02,268,0.00995764286245077,2.32794007812788
"CRACR2B",16.01,269,0.00999479824626588,2.32654309043216
"KCNK7",16.01,270,0.010031953630081,2.32515062845579
"MIR6892",16,271,0.0100691090138961,2.32376266028761
"DAPK3",15.95,272,0.0101062643977112,2.322379154359
"UBALD2",15.95,273,0.0101434197815263,2.32100007943895
"TUBB",15.92,274,0.0101805751653415,2.31962540462923
"AMH",15.9,275,0.0102177305491566,2.31825509935961
"PRR22",15.88,276,0.0102548859329717,2.31688913338325
"PSMC5",15.86,277,0.0102920413167868,2.31552747677205
"LOC102724814",15.78,278,0.0103291967006019,2.31417009991221
"SYNGR2",15.73,279,0.010366352084417,2.31281697349977
"ZDHHC12",15.72,280,0.0104035074682321,2.31146806853628
"FTH1",15.71,281,0.0104406628520473,2.31012335632452
"HNRNPL",15.71,282,0.0104778182358624,2.30878280846434
"LRRC45",15.67,283,0.0105149736196775,2.3074463968485
"HIST1H1C",15.65,284,0.0105521290034926,2.30611409365864
"LTC4S",15.64,285,0.0105892843873077,2.30478587136129
"C21ORF33",15.62,286,0.0106264397711228,2.30346170270401
"LOC388242",15.61,287,0.010663595154938,2.30214156071146
"MIR3917",15.57,288,0.0107007505387531,2.3008254186817
"MIR6744",15.57,289,0.0107379059225682,2.29951325018244
"POLR2E",15.56,290,0.0107750613063833,2.29820502904739
"ZACN",15.55,291,0.0108122166901984,2.29690072937271
"PDLIM7",15.53,292,0.0108493720740135,2.29560032551342
"IDH3G",15.52,293,0.0108865274578286,2.29430379207998
"LIME1",15.51,294,0.0109236828416438,2.29301110393488
"MAFF",15.51,295,0.0109608382254589,2.29172223618926
"GLTSCR2",15.48,296,0.010997993609274,2.29043716419963
"MIR7112",15.46,297,0.0110351489930891,2.28915586356463
"MIR4722",15.43,298,0.0110723043769042,2.28787831012184
"OTUB1",15.41,299,0.0111094597607193,2.28660447994463
"MIR6785",15.33,300,0.0111466151445344,2.2853343493391
"PYCRL",15.26,301,0.0111837705283496,2.28406789484102
"IL18BP",15.23,302,0.0112209259121647,2.28280509321288
"DUSP5P1",15.22,303,0.0112580812959798,2.28154592144092
"LRRC14",15.22,304,0.0112952366797949,2.28029035673225
"ACADVL",15.18,305,0.01133239206361,2.27903837651203
"CCDC71",15.18,306,0.0113695474474251,2.27778995842064
"MDK",15.15,307,0.0114067028312402,2.27654508031097
"ZNF581",15.15,308,0.0114438582150554,2.27530372024567
"RNASEH2C",15.12,309,0.0114810135988705,2.2740658564945
"SNORD36C",15.12,310,0.0115181689826856,2.27283146753176
"TCIRG1",15.1,311,0.0115553243665007,2.27160053203361
"PRSS56",15.06,312,0.0115924797503158,2.27037302887563
"PPP1R35",15.05,313,0.0116296351341309,2.26914893713025
"RPL31",15.04,314,0.011666790517946,2.26792823606434
"MIR6515",15.03,315,0.0117039459017612,2.26671090513674
"H2AFX",14.98,316,0.0117411012855763,2.26549692399593
"MIR4999",14.97,317,0.0117782566693914,2.26428627247765
"PTOV1-AS2",14.94,318,0.0118154120532065,2.26307893060257
"MIR200B",14.92,319,0.0118525674370216,2.26187487857408
"TBX6",14.9,320,0.0118897228208367,2.26067409677599
"RECQL4",14.83,321,0.0119268782046519,2.25947656577036
"RPL13",14.81,322,0.011964033588467,2.2582822662953
"ABHD11-AS1",14.8,323,0.0120011889722821,2.25709117926286
"COPS6",14.8,324,0.0120383443560972,2.25590328575691
